03.208.995/0001-79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45.998.135/0001-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.795.332/0001-23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74.280.447/0001-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74.521.840/0001-36,NULL,NULL,NULL,NULL,NULL,NULL,NULL
08.781.398/0001-52,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.477.319/0001-02,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.178.490/0001-71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65.671.224/0001-70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.044.419/0001-94,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.866.077/0001-37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37.986.213/0001-44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
09.112.999/0001-35,10.418.325-0,SUPERMERCADO BIG XEPA LTDA,SIM,"4711302 - COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - SUPERMERCADOS",BAIXADO - NÃO HABILITADO,2019-09-19,2007-10-26
30.759.534/0001-67,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44.218.154/0001-20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30.480.743/0001-77,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92.195.650/0001-58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43.175.454/0001-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02.459.530/0001-28,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.949.179/0001-89,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.020.896/0001-21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
00.974.646/0001-70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10.284.188/0001-09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86.499.399/0001-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02.035.992/0001-18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.090.494/0001-66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.770.961/0001-73,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10.323.007/0001-06,NULL,NULL,NULL,NULL,NULL,NULL,NULL
07.296.453/0001-56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
05.247.095/0001-66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
04.700.400/0001-60,NULL,NULL,NULL,NULL,NULL,NULL,NULL
03.454.819/0001-17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02.223.491/0001-65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41.847.153/0001-56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
02.910.947/0001-65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35.864.271/0001-70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
01.747.501/0001-07,NULL,NULL,NULL,NULL,NULL,NULL,NULL
